x LHS_beta=90.000 LHS_beta=900.000 LHS_beta=9000.000 LHS_beta=90000.000 LHS_beta=900000.000 LHS_beta=9000000.000 RHS_beta=90.000 RHS_beta=900.000 RHS_beta=9000.000 RHS_beta=90000.000 RHS_beta=900000.000 RHS_beta=9000000.000
9.079657125625227923e-06 1.347554995255968506e+12 1.347547571538109375e+13 1.346805695098072500e+14 1.277258005956743500e+15 3.296242458472345000e+15 3.298105623737600000e+15 2.174472857627234771e+05 2.174424941057572365e+08 2.169640074921219177e+11 1.751928029345747500e+14 6.007874348468667969e+13 0.000000000000000000e+00
9.058712126488837458e-06 1.361195370775471924e+12 1.361187906469102148e+13 1.360441971592629375e+14 1.290493677342267500e+15 3.337270690251686500e+15 3.339192952636407500e+15 2.173048910345941258e+05 2.173001245819999278e+08 2.168241517241911316e+11 1.752474755388934062e+14 6.132205073222065625e+13 0.000000000000000000e+00
9.037767127352446992e-06 1.374733416581800049e+12 1.374725912857438867e+13 1.373976036499448125e+14 1.303637923261726750e+15 3.378236213289439500e+15 3.380219110922554500e+15 2.171584223535833880e+05 2.171536811144630313e+08 2.166802229613743286e+11 1.752984541025885312e+14 6.259019568023383594e+13 0.000000000000000000e+00
9.016822128216056526e-06 1.388166331378266602e+12 1.388158789411496680e+13 1.387405089034017188e+14 1.316688000593573500e+15 3.419131665376913000e+15 3.421176768442141000e+15 2.170078669192237139e+05 2.170031509018220305e+08 2.165322083166695251e+11 1.753457180082538750e+14 6.388365030882264062e+13 0.000000000000000000e+00
8.995877129079666060e-06 1.401491319208802002e+12 1.401483740179992578e+13 1.400726333724646562e+14 1.329641168969455250e+15 3.459949628782370500e+15 3.462058539967165500e+15 2.168532122551229259e+05 2.168485214668211341e+08 2.163800952264979248e+11 1.753892468842378125e+14 6.520289495537688281e+13 0.000000000000000000e+00
8.974932129943275595e-06 1.414705590508327148e+12 1.414697975602356641e+13 1.413936981462505625e+14 1.342494691788835500e+15 3.500682632209402500e+15 3.502856987153648500e+15 2.166944462136900402e+05 2.166897806609996557e+08 2.162238714554393005e+11 1.754290206100639688e+14 6.654841844845363281e+13 0.000000000000000000e+00
8.953987130806885129e-06 1.427806363162363770e+12 1.427798713568337109e+13 1.427034250560905938e+14 1.355245837243798000e+15 3.541323152805952500e+15 3.543564620550159500e+15 2.165315569808244181e+05 2.165269166693807840e+08 2.160635251009304504e+11 1.754650193218407188e+14 6.792071824340196094e+13 0.000000000000000000e+00
8.933042131670494663e-06 1.440790863575354736e+12 1.440783180486319336e+13 1.440015367823305000e+14 1.367891879353546750e+15 3.581863618223517000e+15 3.584173901656266500e+15 2.163645330805674603e+05 2.163599180151238143e+08 2.158990445979265442e+11 1.754972234176599062e+14 6.932030055986186719e+13 0.000000000000000000e+00
8.912097132534104198e-06 1.453656327747156982e+12 1.453648612359813477e+13 1.452877569619494062e+14 1.380430099008090750e+15 3.622296408726019000e+15 3.624677245030392500e+15 2.161933633797129442e+05 2.161887735641343594e+08 2.157304187235214539e+11 1.755256135629799375e+14 7.074768052113003125e+13 0.000000000000000000e+00
8.891152133397713732e-06 1.466400002357157227e+12 1.466392255871567969e+13 1.465618102969420000e+14 1.392857785020597750e+15 3.662613859347786000e+15 3.665067020446512500e+15 2.160180370923763840e+05 2.160134725296332538e+08 2.155576366015272827e+11 1.755501706959939688e+14 7.220338229547900000e+13 0.000000000000000000e+00
