x	denom	arg(denom)
 (0.331437+0.000000j)	 (1.972346-0.000001j)	 (-0.000001+0.000000j)
 (0.001069+0.000000j)	 (2.000000-0.000000j)	 (-0.000000+0.000000j)
 (-0.331437+0.000000j)	 (1.972346+0.000001j)	 (0.000001+0.000000j)
 (-0.001069+0.000000j)	 (2.000000+0.000000j)	 (0.000000+0.000000j)
 (0.322119+0.000000j)	 (1.973889-0.000001j)	 (-0.000001+0.000000j)
 (0.006402+0.000000j)	 (1.999990-0.000000j)	 (-0.000000+0.000000j)
 (-0.322119+0.000000j)	 (1.973889+0.000001j)	 (0.000001+0.000000j)
 (-0.006402+0.000000j)	 (1.999990+0.000000j)	 (0.000000+0.000000j)
 (0.303965+0.000000j)	 (1.976766-0.000001j)	 (-0.000001+0.000000j)
 (0.017182+0.000000j)	 (1.999926-0.000000j)	 (-0.000000+0.000000j)
 (-0.303965+0.000000j)	 (1.976766+0.000001j)	 (0.000001+0.000000j)
 (-0.017182+0.000000j)	 (1.999926+0.000000j)	 (0.000000+0.000000j)
 (0.278268+0.000000j)	 (1.980547-0.000001j)	 (-0.000000+0.000000j)
 (0.033387+0.000000j)	 (1.999721-0.000000j)	 (-0.000000+0.000000j)
 (-0.278268+0.000000j)	 (1.980547+0.000001j)	 (0.000000+0.000000j)
 (-0.033387+0.000000j)	 (1.999721+0.000000j)	 (0.000000+0.000000j)
 (0.247289+0.000000j)	 (1.984653-0.000001j)	 (-0.000000+0.000000j)
 (0.054562+0.000000j)	 (1.999256-0.000000j)	 (-0.000000+0.000000j)
 (-0.247289+0.000000j)	 (1.984653+0.000001j)	 (0.000000+0.000000j)
 (-0.054562+0.000000j)	 (1.999256+0.000000j)	 (0.000000+0.000000j)
 (0.213196+0.000000j)	 (1.988604-0.000001j)	 (-0.000000+0.000000j)
 (0.080228+0.000000j)	 (1.998390-0.000000j)	 (-0.000000+0.000000j)
 (-0.213196+0.000000j)	 (1.988604+0.000001j)	 (0.000000+0.000000j)
 (-0.080228+0.000000j)	 (1.998390+0.000000j)	 (0.000000+0.000000j)
 (0.177819+0.000000j)	 (1.992079-0.000001j)	 (-0.000000+0.000000j)
 (0.109911+0.000000j)	 (1.996978-0.000000j)	 (-0.000000+0.000000j)
 (-0.177819+0.000000j)	 (1.992079+0.000001j)	 (0.000000+0.000000j)
 (-0.109911+0.000000j)	 (1.996978+0.000000j)	 (0.000000+0.000000j)
 (7.000000+0.000000j)	 (0.000007-6.708204j)	 (-1.570795+0.000000j)
 (-7.000000+0.000000j)	 (0.000007+6.708204j)	 (1.570795+0.000000j)
 (935.260675+0.000000j)	 (0.000007-935.258536j)	 (-1.570796+0.000000j)
 (3.017163+0.000000j)	 (0.000009-2.259042j)	 (-1.570792+0.000000j)
 (-935.260675+0.000000j)	 (0.000007+935.258536j)	 (1.570796+0.000000j)
 (-3.017163+0.000000j)	 (0.000009+2.259042j)	 (1.570792+0.000000j)
 (156.195359+0.000000j)	 (0.000007-156.182554j)	 (-1.570796+0.000000j)
 (3.104442+0.000000j)	 (0.000009-2.374354j)	 (-1.570792+0.000000j)
 (-156.195359+0.000000j)	 (0.000007+156.182554j)	 (1.570796+0.000000j)
 (-3.104442+0.000000j)	 (0.000009+2.374354j)	 (1.570792+0.000000j)
 (58.199807+0.000000j)	 (0.000007-58.165432j)	 (-1.570796+0.000000j)
 (3.289856+0.000000j)	 (0.000009-2.612117j)	 (-1.570793+0.000000j)
 (-58.199807+0.000000j)	 (0.000007+58.165432j)	 (1.570796+0.000000j)
 (-3.289856+0.000000j)	 (0.000009+2.612117j)	 (1.570793+0.000000j)
 (29.951510+0.000000j)	 (0.000007-29.884660j)	 (-1.570796+0.000000j)
 (3.593659+0.000000j)	 (0.000008-2.985696j)	 (-1.570794+0.000000j)
 (-29.951510+0.000000j)	 (0.000007+29.884660j)	 (1.570796+0.000000j)
 (-3.593659+0.000000j)	 (0.000008+2.985696j)	 (1.570794+0.000000j)
 (18.327744+0.000000j)	 (0.000007-18.218293j)	 (-1.570796+0.000000j)
 (4.043859+0.000000j)	 (0.000008-3.514654j)	 (-1.570794+0.000000j)
 (-18.327744+0.000000j)	 (0.000007+18.218293j)	 (1.570796+0.000000j)
 (-4.043859+0.000000j)	 (0.000008+3.514654j)	 (1.570794+0.000000j)
 (12.464503+0.000000j)	 (0.000007-12.303001j)	 (-1.570796+0.000000j)
 (4.690527+0.000000j)	 (0.000008-4.242764j)	 (-1.570795+0.000000j)
 (-12.464503+0.000000j)	 (0.000007+12.303001j)	 (1.570796+0.000000j)
 (-4.690527+0.000000j)	 (0.000008+4.242764j)	 (1.570795+0.000000j)
 (9.098268+0.000000j)	 (0.000007-8.875724j)	 (-1.570796+0.000000j)
 (5.623696+0.000000j)	 (0.000007-5.256040j)	 (-1.570795+0.000000j)
 (-9.098268+0.000000j)	 (0.000007+8.875724j)	 (1.570796+0.000000j)
 (-5.623696+0.000000j)	 (0.000007+5.256040j)	 (1.570795+0.000000j)
 (1.666667+0.000000j)	 (1.105542-0.000011j)	 (-0.000010+0.000000j)
 (-1.666667+0.000000j)	 (1.105542+0.000011j)	 (0.000010+0.000000j)
 (2.982983+0.000000j)	 (0.000009-2.213186j)	 (-1.570792+0.000000j)
 (1.004281+0.000000j)	 (1.729572-0.000004j)	 (-0.000002+0.000000j)
 (-2.982983+0.000000j)	 (0.000009+2.213186j)	 (1.570792+0.000000j)
 (-1.004281+0.000000j)	 (1.729572+0.000004j)	 (0.000002+0.000000j)
 (2.900742+0.000000j)	 (0.000010-2.101024j)	 (-1.570792+0.000000j)
 (1.025774+0.000000j)	 (1.716912-0.000004j)	 (-0.000002+0.000000j)
 (-2.900742+0.000000j)	 (0.000010+2.101024j)	 (1.570792+0.000000j)
 (-1.025774+0.000000j)	 (1.716912+0.000004j)	 (0.000002+0.000000j)
 (2.746835+0.000000j)	 (0.000010-1.882844j)	 (-1.570791+0.000000j)
 (1.069930+0.000000j)	 (1.689748-0.000004j)	 (-0.000003+0.000000j)
 (-2.746835+0.000000j)	 (0.000010+1.882844j)	 (1.570791+0.000000j)
 (-1.069930+0.000000j)	 (1.689748+0.000004j)	 (0.000003+0.000000j)
 (2.542223+0.000000j)	 (0.000011-1.569362j)	 (-1.570789+0.000000j)
 (1.138162+0.000000j)	 (1.644563-0.000005j)	 (-0.000003+0.000000j)
 (-2.542223+0.000000j)	 (0.000011+1.569362j)	 (1.570789+0.000000j)
 (-1.138162+0.000000j)	 (1.644563+0.000005j)	 (0.000003+0.000000j)
 (2.314121+0.000000j)	 (0.000014-1.164113j)	 (-1.570784+0.000000j)
 (1.230844+0.000000j)	 (1.576396-0.000005j)	 (-0.000003+0.000000j)
 (-2.314121+0.000000j)	 (0.000014+1.164113j)	 (1.570784+0.000000j)
 (-1.230844+0.000000j)	 (1.576396+0.000005j)	 (0.000003+0.000000j)
 (2.083856+0.000000j)	 (0.000025-0.585197j)	 (-1.570754+0.000000j)
 (1.348903+0.000000j)	 (1.476638-0.000006j)	 (-0.000004+0.000000j)
 (-2.083856+0.000000j)	 (0.000025+0.585197j)	 (1.570754+0.000000j)
 (-1.348903+0.000000j)	 (1.476638+0.000006j)	 (0.000004+0.000000j)
 (1.865109+0.000000j)	 (0.722059-0.000018j)	 (-0.000025+0.000000j)
 (1.493933+0.000000j)	 (1.329724-0.000008j)	 (-0.000006+0.000000j)
 (-1.865109+0.000000j)	 (0.722059+0.000018j)	 (0.000025+0.000000j)
 (-1.493933+0.000000j)	 (1.329724+0.000008j)	 (0.000006+0.000000j)
 (0.230769+0.000000j)	 (1.986642-0.000001j)	 (-0.000000+0.000000j)
 (-0.230769+0.000000j)	 (1.986642+0.000001j)	 (0.000000+0.000000j)
 (0.332385+0.000000j)	 (1.972187-0.000001j)	 (-0.000001+0.000000j)
 (0.143555+0.000000j)	 (1.994841-0.000001j)	 (-0.000000+0.000000j)
 (-0.332385+0.000000j)	 (1.972187+0.000001j)	 (0.000001+0.000000j)
