x	Re(denom)	Im(denom)	arg(denom)
-0.230769	2.030230	0.047258	0.023273
0.332385	2.016698	-0.068524	-0.033965
-0.332385	2.016698	0.068524	0.033965
-0.143555	2.037917	0.029287	0.014370

0.327703	2.017431	-0.067534	-0.033463
-0.332385	2.016698	0.068524	0.033965
-0.143555	2.037917	0.029287	0.014370

-0.327703	2.017431	0.067534	0.033463
0.327703	2.017431	-0.067534	-0.033463
0.147027	2.037680	-0.029999	-0.014721
0.318485	2.018842	-0.065589	-0.032477
-0.327703	2.017431	0.067534	0.033463
0.153996	2.037186	-0.031428	-0.015426
-0.147027	2.037680	0.029999	0.014721
0.318485	2.018842	-0.065589	-0.032477
-0.318485	2.018842	0.065589	0.032477
0.153996	2.037186	-0.031428	-0.015426
-0.153996	2.037186	0.031428	0.015426
0.305220	2.020802	-0.062796	-0.031065
-0.318485	2.018842	0.065589	0.032477
